Producto,AlbaranTransito,None,AlbaranOrigen,None,AlbaranOrigen,IDInterno,IDInterno
'Curing Light  LED.D. Woodpecker', 'TRANSITO - TIENDA LIMA/00223', None, 'LA PLATA - TIENDA LIMA/00307', None, 'LA PLATA - TIENDA LIMA/00307', 7907, 7906
'Root Canal File: TG6 Gold 21mm V0-T3 6pcs/blister', 'TRANSITO - TIENDA LIMA/00055', None, 'LA PLATA - TIENDA LIMA/00095', 'LA PLATA - TIENDA LIMA/00095', 'LA PLATA - TIENDA LIMA/00095', 1942, 1941
'[S27L] NOP Sterile Single use Dental Needles 27G/L 0.4x30mm x 100und  Spident', 'TRANSITO - LA PLATA/00272', None, 'LOS OLIVOS:LAS PLATAS/00229', None, None, 6178, None
'[WMIN] Curing Light  MiniS RTA', 'TRANSITO - LA PLATA/00331', None, 'PRODIS-LAS PLATAS/00001', 'PRODIS-LAS PLATAS/00001', 'PRODIS-LAS PLATAS/00001', 7369, 7363
'Nuevo movimiento:[WU6] Ultrasonic Scaler.  U600 Woodpecker', 'EXHIB/IN/00031', None, '', 'Retorno de EXHIB/OUT/00030', None, 7016, None
'PaperPoint #45 Spident ', 'TRANSITO - TIENDA LIMA/00112', None, 'LA PLATA - TIENDA LIMA/00172', None, 'LA PLATA - TIENDA LIMA/00172', 4352, 4351
'[WSCLL] Ultrasonic Scaler UDS-L LED. Woodpecker', 'TRANSITO - LA PLATA/00272', None, 'LOS OLIVOS:LAS PLATAS/00229', None, None, 6178, None
'Curing Light  I LED P BlancoWoodpecker', 'TRANSITO - TIENDA LIMA/00239', None, 'LA PLATA - TIENDA LIMA/00327', None, 'LA PLATA - TIENDA LIMA/00327', 8445, 8400
'PaperPoint #40 Spident ', 'TRANSITO - TIENDA LIMA/00172', None, 'LA PLATA - TIENDA LIMA/00240', None, 'LA PLATA - TIENDA LIMA/00240', 6128, 6127
'Cannal Measuring Table', 'TRANSITO - TIENDA LIMA/00105', None, 'LA PLATA - TIENDA LIMA/00163', None, 'LA PLATA - TIENDA LIMA/00163', 4076, 4023
'Water Supply System  AT-1 Woodpecker', 'TRANSITO - TIENDA LIMA/00121', None, 'LA PLATA - TIENDA LIMA/00180', 'LA PLATA - TIENDA LIMA/00180', 'LA PLATA - TIENDA LIMA/00180', 4631, 4630
'Cannal Measuring Ruler Gray', 'TRANSITO - TIENDA LIMA/00105', None, 'LA PLATA - TIENDA LIMA/00163', None, 'LA PLATA - TIENDA LIMA/00163', 4076, 4023
'[MA01F.] Micro Applicator Fine Size Purple Cotisen. Caja/4tubos', 'TRANSITO - LOS OLIVOS/00018', None, 'TIENDA LIMA- LOS OLIVOS/00005', None, 'TIENDA LIMA- LOS OLIVOS/00005', 1269, 1267
'[MES05] M2 Rainbow R98A 4 PCS. Azul. Motranser.', 'TRANSITO - LOS OLIVOS/00018', None, 'TIENDA LIMA- LOS OLIVOS/00005', None, 'TIENDA LIMA- LOS OLIVOS/00005', 1269, 1267
'PaperPoint #45 Spident ', 'TRANSITO - TIENDA LIMA/00055', None, 'LA PLATA - TIENDA LIMA/00095', 'LA PLATA - TIENDA LIMA/00095', 'LA PLATA - TIENDA LIMA/00095', 1942, 1941
'Guttapercha 04T#25 Spident ', 'TRANSITO - TIENDA LIMA/00055', None, 'LA PLATA - TIENDA LIMA/00095', 'LA PLATA - TIENDA LIMA/00095', 'LA PLATA - TIENDA LIMA/00095', 1942, 1941
'Root Canal File: RC Blue 25mm #R20 3pcs/blister', 'TRANSITO - TIENDA LIMA/00055', None, 'LA PLATA - TIENDA LIMA/00095', 'LA PLATA - TIENDA LIMA/00095', 'LA PLATA - TIENDA LIMA/00095', 1942, 1941
'PaperPoint #45 Spident ', 'TRANSITO - TIENDA LIMA/00172', None, 'LA PLATA - TIENDA LIMA/00240', None, 'LA PLATA - TIENDA LIMA/00240', 6128, 6127
'[HY01] Dental Alginate Impression Material - Mod: Chromatic.', 'TRANSITO - LA PLATA/00334', None, 'LOS OLIVOS:LAS PLATAS/00282', None, None, 7574, None
'Root Canal File: K-File Niti, 21mm #45-80 6pcs/blister', 'TRANSITO - TIENDA LIMA/00094', None, 'LA PLATA - TIENDA LIMA/00151', 'LA PLATA - TIENDA LIMA/00151', 'LA PLATA - TIENDA LIMA/00151', 3719, 3718
'Root Canal File: TG6 Gold 25mm V0-T3 6pcs/blister', 'TRANSITO - TIENDA LIMA/00094', None, 'LA PLATA - TIENDA LIMA/00151', 'LA PLATA - TIENDA LIMA/00151', 'LA PLATA - TIENDA LIMA/00151', 3719, 3718
'Guttapercha 04T#25 Spident ', 'TRANSITO - TIENDA LIMA/00062', None, 'LA PLATA - TIENDA LIMA/00102', 'LA PLATA - TIENDA LIMA/00102', 'LA PLATA - TIENDA LIMA/00102', 2157, 2156
'Root Canal File: TF4 Gold 25mm #T20, #T25, #T35, #T45 4pcs/blister', 'TRANSITO - TIENDA LIMA/00094', None, 'LA PLATA - TIENDA LIMA/00151', 'LA PLATA - TIENDA LIMA/00151', 'LA PLATA - TIENDA LIMA/00151', 3719, 3718
'PaperPoint #40 Spident ', 'TRANSITO - TIENDA LIMA/00112', None, 'LA PLATA - TIENDA LIMA/00172', None, 'LA PLATA - TIENDA LIMA/00172', 4352, 4351
'[PL08] Root Canal File: K Flex SS, 25mm #15-40 6pcs/blister', 'TRANSITO - TIENDA LIMA/00034', None, 'LA PLATA - TIENDA LIMA/00051', None, 'LA PLATA - TIENDA LIMA/00051', 1139, 1141
'Lima NITI Juego 15,20,25,30,35,40', 'TRANSITO - TIENDA LIMA/00200', None, 'LA PLATA - TIENDA LIMA/00278', None, 'LA PLATA - TIENDA LIMA/00278', 7128, 7077
'[RXG] Dental X-RAY Equipment - Marca Dyson / MODELO: DYS-M 3 Cajas componen un Equipo', 'TRANSITO - LOS OLIVOS/00074', None, 'PRODIS- LOS OLIVOS/00036', None, None, 4375, None
'[RXG] Dental X-RAY Equipment - Marca Dyson / MODELO: DYS-M 3 Cajas componen un Equipo', 'TRANSITO - LA PLATA/00272', None, 'LOS OLIVOS:LAS PLATAS/00229', None, None, 6178, None
'Curing Light  LED.C Cure Woodpecker', 'TRANSITO - TIENDA LIMA/00084', None, 'LA PLATA - TIENDA LIMA/00132', None, 'LA PLATA - TIENDA LIMA/00132', 3206, 3205
'Curing Light  LED.C cure Woodpecker', 'TRANSITO - TIENDA LIMA/00156', None, 'LA PLATA - TIENDA LIMA/00222', None, 'LA PLATA - TIENDA LIMA/00222', 5628, 5627
'Ultrasonic Scaler UDS-L LED. Woodpecker', 'TRANSITO - TIENDA LIMA/00232', None, 'LA PLATA - TIENDA LIMA/00320', None, 'LA PLATA - TIENDA LIMA/00320', 8263, 8262
'Root Canal File: G Gates, SS, 32mm #04 6pcs/blister', 'TRANSITO - TIENDA LIMA/00094', None, 'LA PLATA - TIENDA LIMA/00151', 'LA PLATA - TIENDA LIMA/00151', 'LA PLATA - TIENDA LIMA/00151', 3719, 3718
'Guttapercha #15 Spident ', 'TRANSITO - TIENDA LIMA/00112', None, 'LA PLATA - TIENDA LIMA/00172', None, 'LA PLATA - TIENDA LIMA/00172', 4352, 4351
'[WSCAL] Ultrasonic Scaler UDS-A LED Woodpecker', 'TRANSITO - LA PLATA/00334', None, 'LOS OLIVOS:LAS PLATAS/00282', None, None, 7574, None
'[WFOCCB] Fibra Optica blanca LED.C cure', 'TRANSITO - TIENDA LIMA/00050', None, 'LA PLATA - TIENDA LIMA/00085', None, 'LA PLATA - TIENDA LIMA/00085', 1666, 1688
'Curing Light  LED.D. Woodpecker', 'TRANSITO - TIENDA LIMA/00094', None, 'LA PLATA - TIENDA LIMA/00151', 'LA PLATA - TIENDA LIMA/00151', 'LA PLATA - TIENDA LIMA/00151', 3719, 3718
'Cargador para Lámpara', 'TRANSITO - TIENDA LIMA/00094', None, 'LA PLATA - TIENDA LIMA/00151', 'LA PLATA - TIENDA LIMA/00151', 'LA PLATA - TIENDA LIMA/00151', 3719, 3718
'[WELIP] EMISOR DE LUZ I LED PLUS 1', 'TRANSITO - LOS OLIVOS/00018', None, 'TIENDA LIMA- LOS OLIVOS/00005', None, 'TIENDA LIMA- LOS OLIVOS/00005', 1269, 1267
'PaperPoint #15-40 Spident ', 'TRANSITO - TIENDA LIMA/00183', None, 'LA PLATA - TIENDA LIMA/00253', None, 'LA PLATA - TIENDA LIMA/00253', 6502, 6497
'Viopex. Hidróxido de calcio / Yodoformo.', 'TRANSITO - TIENDA LIMA/00105', None, 'LA PLATA - TIENDA LIMA/00163', None, 'LA PLATA - TIENDA LIMA/00163', 4076, 4023
'[WLF] Curing Light  LED.F Woodpecker', 'TRANSITO - LOS OLIVOS/00071', None, 'PRODIS- LOS OLIVOS/00033', None, None, 4266, None
'[WLF] Curing Light  LED.F Woodpecker', 'TRANSITO - LA PLATA/00334', None, 'LOS OLIVOS:LAS PLATAS/00282', None, None, 7574, None
'[MA01SF] Micro Applicator Super Fine Size White Cotisen. Caja/4tubos', 'TRANSITO - LOS OLIVOS/00018', None, 'TIENDA LIMA- LOS OLIVOS/00005', None, 'TIENDA LIMA- LOS OLIVOS/00005', 1269, 1267
'[PL29] Root Canal File: RC Blue 25mm #R20 3pcs/blister', 'TRANSITO - TIENDA LIMA/00034', None, 'LA PLATA - TIENDA LIMA/00051', None, 'LA PLATA - TIENDA LIMA/00051', 1139, 1141
